id,p,theta
2212,2.43641,0.376677
211,0.814984,0.724304
211,1.67987,0.44159
211,0.373083,1.55351
211,1.37606,0.299644
211,0.421759,0.839372
211,0.471962,0.564682
2212,1.02602,0.198594
321,2.15854,0.429878
2212,0.850385,0.356071
211,0.522469,0.532904
211,1.8262,0.414501
2212,2.916,0.240423
211,1.22164,0.222777
211,2.42939,0.147571
2212,0.651255,0.188688
2212,0.948348,0.45827
2212,1.50393,0.352874
211,0.61799,0.858003
2212,1.02434,0.562075
2212,1.26558,0.122224
211,1.47066,0.299539
2212,0.953841,0.894638
211,2.49958,0.455832
211,0.844129,0.679646
211,1.01137,0.224366
211,1.4548,0.315419
211,2.34089,0.35183
2212,1.00633,0.588206
2212,0.836194,0.479223
211,0.5243,0.551103
211,0.857404,0.50658
2212,2.16663,0.30229
2212,2.66361,0.273413
211,0.465095,1.14215
211,2.48402,0.215126
211,0.934615,0.167689
2212,1.12108,0.64619
211,2.54124,0.347428
211,0.364691,1.43375
2212,2.47364,0.300188
211,0.226749,0.946946
211,1.05745,0.417207
2212,3.02007,0.167606
211,0.499428,0.78335
211,0.394446,0.949171
2212,0.855268,0.704839
211,1.39406,0.421157
211,1.17403,0.755139
2212,1.04814,0.236531
2212,0.677958,0.43142
2212,1.27626,0.246056
211,2.64927,0.172027
2212,1.79583,0.424848
211,1.81628,0.252735
211,0.744183,1.00864
2212,1.40566,0.319799
2212,2.95277,0.35084
211,1.38872,0.175241
211,0.346075,0.760696
2212,0.940414,0.226186
2212,1.22194,0.223677
211,0.414282,0.738968
211,1.09819,0.366315
211,2.56992,0.138327
-11,1.43084,0.266338
2212,1.22301,0.447471
211,0.406958,1.02103
211,1.0985,0.424135
2212,1.80865,0.408914
321,2.30823,0.490101
2212,1.08309,0.144962
321,0.662547,0.475645
211,0.691997,0.588495
211,0.746471,0.367399
211,1.12383,0.739707
2212,1.59731,0.52712
211,0.604257,0.605648
211,0.222324,1.19781
2212,2.03632,0.328099
211,0.375067,1.30496
211,0.656291,0.893052
2212,0.881666,0.226074
211,0.336004,1.40569
2212,1.27489,0.295634
211,1.08248,0.542811
211,0.914015,0.199087
211,1.99313,0.406557
2212,1.56619,0.176271
211,1.07301,0.359973
2212,1.11589,0.344838
211,0.475319,0.590671
2212,1.14504,0.498527
211,0.676738,0.790545
211,2.2652,0.29198
211,0.454109,0.335461
211,0.285801,0.869227
211,1.33013,0.352493
2212,1.05287,0.405389
321,1.29168,0.396615
2212,3.33349,0.326971
211,0.245975,1.07971
2212,1.28893,0.251734
211,0.937667,0.683285
211,0.305028,1.00098
211,0.676127,0.646989
211,0.698711,0.424552
211,0.334478,1.03479
2212,1.47478,0.397894
211,0.94728,0.811513
211,1.87732,0.389172
2212,2.61723,0.373737
211,0.96376,0.432915
2212,0.749828,0.476837
2212,1.80087,0.368193
211,0.489204,0.379427
211,0.535439,0.591499
2212,1.11192,0.414368
211,0.554208,0.793423
211,0.585946,0.546627
2212,2.0444,0.355061
2212,2.33906,0.256989
211,0.484474,0.633493
211,0.392462,1.20069
2212,1.76806,0.126945
2212,1.49752,0.428008
211,0.835737,0.587482
211,0.68101,0.768894
2212,2.27298,0.21143
211,2.28351,0.254366
2212,1.24361,0.448843
211,2.00763,0.435874
211,2.22904,0.309616
211,1.21904,0.153257
2212,0.925765,0.367908
211,0.548257,0.292395
2212,2.50813,0.300319
2212,0.732433,0.715346
2212,1.27123,0.451985
211,1.51171,0.360088
2212,1.85946,0.256556
211,1.67605,0.246352
2212,0.809644,0.843949
2212,0.947433,0.488508
2212,0.888533,0.460663
211,1.45357,0.330769
211,0.714733,0.348609
2212,1.30495,0.530783
211,0.469062,0.385263
211,0.490425,0.746224
2212,0.967422,0.369849
2212,1.04204,0.510851
211,1.89502,0.327017
211,0.287022,0.700119
2212,2.05783,0.305483
211,0.725872,0.479745
2212,0.90959,0.565928
211,0.234684,1.2086
211,0.276646,0.752064
211,0.433509,0.431545
2212,0.718547,0.514318
211,0.528115,0.905476
211,0.637217,0.988308
211,1.38033,0.147249
2212,1.46975,0.135321
211,0.797894,0.26411
211,0.628061,0.71439
2212,0.942092,0.206909
211,0.457771,0.946425
211,1.01335,0.594609
211,0.776379,0.581335
321,2.79667,0.277702
2212,0.955215,0.248972
2212,0.78584,0.416565
321,1.66567,0.349077
2212,1.3434,0.354554
2212,2.96162,0.265604
2212,0.777295,0.723434
321,1.23201,0.412664
211,2.78416,0.36493
211,0.497597,0.605951
2212,1.78729,0.318191
211,0.599832,0.480893
2212,0.709087,0.179862
211,2.3357,0.311926
211,0.462654,0.703424
211,0.620279,0.478792
2212,1.33425,0.515448
2212,1.25765,0.267946
211,0.94667,0.421204
211,0.309148,0.72214
211,2.29328,0.224168
2212,1.36477,0.377408
211,0.357366,0.80892
211,0.488441,1.06892
2212,1.0721,0.44473
2212,2.66178,0.307986
211,1.44381,0.235526
211,0.513771,0.928168
2212,2.41077,0.440943
211,1.78668,0.339502
211,1.4696,0.3158
211,0.353399,0.835826
211,1.90021,0.261622
211,1.01152,0.219026
2212,3.75235,0.244392
211,0.408942,0.774149
211,2.31662,0.250489
321,1.72198,0.598408
2212,2.64317,0.161556
211,1.97879,0.235319
211,0.488899,0.315933
321,1.56191,0.388742
2212,2.05966,0.164405
211,0.452583,0.527515
211,0.742351,0.933117
211,1.22637,0.234634
211,0.523079,0.443001
2212,0.709392,0.178696
321,1.74731,0.212708
211,0.528572,0.866505
2212,1.25505,0.311096
2212,0.812848,0.368564
321,0.822156,0.557001
211,0.474708,0.935139
2212,0.915084,0.511441
321,2.04364,0.181486
2212,3.30739,0.158151
211,1.11986,0.426679
2212,2.56336,0.249336
211,0.541848,0.722648
211,1.23751,0.420636
2212,1.36049,0.382123
211,2.33661,0.303598
211,0.511635,1.22172
2212,1.07576,0.343661
211,0.888228,0.361177
211,0.691997,0.850999
2212,0.908675,0.409921
211,2.43641,0.303161
2212,2.29786,0.323165
211,0.481422,1.09701
2212,1.58938,0.264209
2212,0.920272,0.4547
2212,1.69329,0.665876
211,0.389258,0.485295
211,1.75357,0.105809
2212,2.57893,0.173895
211,1.21782,0.606674
211,1.91104,0.6355
2212,1.33104,0.294012
211,2.74876,0.22958
2212,1.23674,0.371146
2212,0.864424,0.5145
2212,0.627756,0.347726
2212,0.733959,0.456351
211,0.729992,0.64952
211,2.19394,0.158716
2212,1.02937,0.394881
2212,2.00473,0.369425
2212,0.933089,0.519434
211,0.749828,0.408653
211,0.927443,0.395631
2212,0.746014,0.346962
211,0.314488,0.727515
211,1.52636,0.530589
211,0.654765,0.186935
211,0.428321,0.451231
2212,1.82635,0.461663
2212,1.13344,0.53683
211,1.06035,0.275506
2212,1.10185,0.47909
211,0.344396,1.17072
2212,0.880751,0.517759
211,0.810712,0.82579
211,0.52842,1.00802
211,0.469062,1.11591
211,0.238041,1.11534
211,0.474098,0.692699
211,0.866407,0.321806
2212,3.19707,0.20412
211,0.585031,1.08721
211,0.399023,0.6361
2212,1.23659,0.356037
211,1.30678,0.542387
2212,1.55306,0.182441
2212,1.21355,0.412335
211,1.77279,0.13056
2212,1.40978,0.406035
2212,1.40887,0.202824
321,2.49683,0.36821
2212,1.67498,0.228017
211,0.520638,1.19744
2212,1.31121,0.431515
211,1.06538,0.512079
2212,2.26062,0.346163
2212,0.780804,0.547809
2212,2.42573,0.458591
2212,0.631724,0.429743
211,1.50652,0.514705
211,3.30724,0.25536
211,0.404822,0.354441
211,0.440681,0.440474
2212,3.23033,0.325239
2212,1.12398,0.23983
2212,0.855421,0.395946
211,1.96826,0.349917
2212,1.50759,0.551224
211,0.476234,1.26123
211,2.94118,0.201847
211,0.373083,0.571096
2212,1.62173,0.258361
211,1.14183,0.312447
211,2.83299,0.253797
2212,1.71283,0.135241
2212,0.775769,0.238611
211,0.247654,1.49193
2212,0.874495,0.467006
211,0.304723,1.15577
211,3.05303,0.247978
2212,0.682231,0.816741
211,2.31723,0.269472
211,2.51057,0.171181
2212,0.68864,0.366911
211,2.72435,0.1267
211,2.78416,0.274644
211,0.684062,0.44764
2212,1.13466,0.150943
2212,1.20165,0.464079
2212,0.68452,0.290956
2212,2.32715,0.18217
211,1.00572,0.52956
211,0.475471,0.829237
2212,0.95552,0.328674
211,2.53254,0.271282
2212,0.996262,0.40387
2212,1.08827,0.755092
211,0.756237,0.327433
2212,1.31991,0.242173
211,0.813611,0.511998
211,0.354009,0.773099
2212,0.921798,0.281362
2212,1.28313,0.282839
2212,1.31716,0.34752
211,1.09087,0.198468
2212,0.639506,0.39361
2212,0.878004,0.788882
2212,0.907759,0.929507
321,1.97391,0.484303
2212,0.640574,0.28571
211,0.582895,1.22522
321,2.13794,0.206655
211,0.302586,1.0126
2212,0.922408,0.715547
211,0.328069,1.46235
211,0.356146,0.930925
2212,0.782177,0.617018
211,0.820325,0.352459
2212,1.4934,0.536854
2212,0.628824,0.338247
211,0.227054,1.88251
2212,0.898909,0.3115
211,0.718853,0.566568
321,3.15038,0.332137
211,0.492103,0.628729
211,0.340124,1.03728
2212,2.89647,0.255359
211,0.514382,0.757813
2212,0.730907,0.326583
211,2.54643,0.438503
2212,3.57549,0.293157
211,2.37201,0.395117
211,0.92195,0.65363
211,0.870375,0.344317
211,0.493477,0.748378
2212,3.18944,0.30573
2212,1.03258,0.432538
211,1.71206,0.493217
2212,1.08003,0.280512
211,1.09743,0.476291
211,0.277562,1.1562
321,2.32563,0.219099
321,1.99542,0.305764
211,2.439,0.178632
2212,2.02686,0.282852
2212,1.24147,0.270297
211,1.40963,0.169129
2212,1.0399,0.792867
211,0.744793,0.374221
211,1.11528,0.494362
2212,0.99794,0.46914
211,1.65881,0.207774
2212,1.11543,0.443244
321,3.44686,0.113467
211,0.221714,0.921595
321,2.39429,0.246987
2212,0.742809,0.596576
211,0.500801,0.986957
2212,1.30785,0.271543
211,0.967727,0.481174
211,0.671397,1.04799
2212,2.32547,0.544823
211,2.43992,0.344593
2212,1.48226,0.304103
2212,0.996872,0.613264
211,0.609445,0.686295
2212,1.94415,0.296418
211,0.965286,0.256266
2212,0.965743,0.20644
321,2.51972,0.266174
211,1.12276,0.604259
211,1.01778,0.418838
321,2.1561,0.272149
2212,1.21675,0.308237
2212,1.58999,0.346355
211,1.23476,0.26537
321,0.511025,0.537893
211,1.66384,0.431606
211,0.446784,0.766695
2212,1.16533,0.223864
2212,2.12161,0.312242
211,2.26184,0.547026
211,0.873426,0.732418
2212,0.671702,0.652172
211,0.890517,0.938646
211,0.795148,0.516027
211,0.217594,1.52459
211,0.729076,1.10351
2212,0.894484,0.433084
211,0.686503,0.861073
211,1.33532,0.304571
2212,2.75822,0.335591
211,0.902724,0.299855
211,0.955215,0.673122
2212,1.26085,0.488187
2212,1.34249,0.357684
211,0.486763,1.13818
211,1.13588,0.328104
2212,1.49874,0.175526
211,0.94316,0.326732
211,0.243839,1.11863
2212,1.42992,0.639263
211,0.860151,0.673852
211,2.03143,0.271371
211,0.773022,0.52847
2212,0.721141,0.209284
211,0.922408,0.236472
2212,2.43076,0.389096
211,1.53628,0.331405
2212,0.724498,0.391508
2212,1.90616,0.193665
2212,0.993362,0.431812
211,2.38193,0.256074
211,1.3106,0.361196
211,2.2768,0.463225
211,0.781415,0.602243
211,1.79232,0.407767
2212,1.95422,0.208815
211,0.726787,0.428334
2212,0.768292,0.511323
211,0.619058,0.51714
211,0.667124,0.623155
2212,1.35714,0.448027
321,2.37949,0.310411
211,1.81872,0.545531
211,0.634318,0.236569
211,0.548257,0.343808
2212,1.6466,0.143897
2212,1.57366,0.166776
2212,1.11131,0.484237
211,0.466926,0.54541
211,1.72122,0.24189
211,0.761883,0.904672
2212,1.13512,0.120738
2212,0.752728,0.471027
2212,2.7245,0.235181
2212,1.30785,0.569468
321,3.16258,0.361247
211,0.263218,1.01108
2212,1.60311,0.34706
211,2.0766,0.217887
2212,1.34508,0.232399
211,1.84955,0.235156
2212,1.59716,0.196982
211,1.98459,0.212091
211,0.224002,0.924056
2212,1.98886,0.394494
2212,0.810712,0.486923
211,0.370794,0.59947
211,0.88777,0.285189
2212,1.11391,0.354556
2212,0.972763,0.374255
211,0.999313,0.30245
211,1.66567,0.13023
211,1.17342,0.467917
2212,0.741283,0.596176
2212,1.32341,0.445504
211,0.334173,0.417142
2212,1.53826,0.724846
321,1.98642,0.350821
211,0.4477,1.94101
2212,1.23033,0.392347
211,1.27199,0.378427
211,1.46563,0.264894
2212,1.60662,0.445845
211,1.04158,0.465448
2212,1.05348,0.471556
2212,1.74563,0.212631
211,0.257877,0.768839
211,0.311131,0.868322
211,0.876631,0.895318
321,2.76951,0.202607
2212,0.960861,0.573759
211,0.672923,0.554584
2212,1.24346,0.544044
211,1.6939,0.557807
2212,0.98909,0.304464
211,1.1014,0.80965
2212,1.62036,0.439537
2212,1.24819,0.497935
211,0.610513,0.746582
2212,1.08248,0.525574
2212,1.15435,0.507651
211,1.84314,0.209286
2212,0.875715,0.366548
321,0.37232,0.733368
2212,2.21607,0.369593
211,0.775769,0.953997
2212,1.71298,0.147579
211,1.12871,0.301799
211,0.555886,0.485823
2212,1.23674,0.397682
321,0.968795,0.647769
2212,1.55489,0.31916
211,0.299535,0.483304
321,2.48234,0.242053
2212,0.740063,0.450287
2212,0.656748,0.612609
2212,1.72534,0.352533
211,1.27321,0.276564
2212,1.62203,0.197493
211,3.08797,0.418907
2212,0.71809,0.235904
211,1.46807,0.263499
211,0.500191,0.629204
211,0.360113,0.498315
2212,0.993362,0.650125
211,2.18677,0.294389
211,0.451514,0.954448
2212,1.27687,0.372303
211,2.79591,0.256732
2212,1.49874,0.331161
211,0.231785,1.33994
211,0.342718,1.01434
211,0.471046,0.619125
2212,1.69162,0.638577
211,0.45655,0.955902
2212,1.91638,0.388184
211,1.10079,0.581976
211,1.31456,0.492159
211,1.73724,0.443778
2212,0.925307,0.37032
2212,1.00908,0.314614
211,1.15938,0.455945
211,1.19661,0.309614
211,1.26497,0.462415
2212,1.47631,0.172851
211,0.31342,1.13327
2212,2.53834,0.24128
211,0.922713,0.131478
211,1.05455,0.422718
211,0.261387,0.963461
2212,1.25002,0.417355
211,0.798047,0.612103
211,0.615702,0.400975
211,0.627451,0.910637
2212,0.849928,0.325164
2212,0.873121,0.315782
211,0.386816,1.2471
2212,1.0106,0.424644
2212,1.48379,0.335809
211,0.70985,0.951573
2212,2.31708,0.230543
2212,0.918288,0.54843
321,3.20607,0.218771
2212,1.06477,0.476613
2212,0.915999,0.250098
2212,1.51583,0.254714
211,0.276951,0.961832
2212,1.29,0.3072
211,0.41001,0.42114
2212,1.05943,0.261198
211,0.677653,0.558048
211,1.08019,0.217679
2212,1.07301,0.699493
211,0.546731,0.940989
211,0.946059,0.472742
211,0.67628,0.507459
211,0.791485,0.36022
2212,2.30289,0.158723
211,0.259403,1.47876
2212,1.76577,0.18861
211,0.339818,0.983625
321,2.59648,0.271554
321,2.52094,0.329754
2212,1.87457,0.188501
211,0.47303,0.527867
211,2.04486,0.269259
2212,0.975967,0.330813
321,1.53429,0.394635
211,1.20562,0.157124
2212,1.63424,0.617195
211,0.452125,1.03848
211,1.48974,0.251523
211,1.11696,0.359974
2212,2.49149,0.248251
211,0.441444,0.663148
211,1.91058,0.426484
211,1.76211,0.122319
211,0.520027,0.650358
211,0.841382,0.265132
2212,1.07576,0.30356
2212,2.5066,0.137925
211,0.664073,0.444802
2212,2.69505,0.194683
211,0.82002,0.70489
2212,1.13573,0.474946
211,1.42626,0.173492
321,2.14908,0.3172
2212,3.13024,0.28603
211,0.376898,1.08124
211,1.41299,0.249215
211,1.31151,0.326294
211,1.33135,0.156916
2212,0.938125,0.230287
211,1.29519,0.299877
211,1.42184,0.230889
2212,2.12406,0.327135
2212,0.64683,0.919601
211,1.39284,0.259502
211,0.894484,0.813658
211,0.63447,1.23904
211,1.24239,0.251812
211,1.78531,0.106699
2212,1.33928,0.220483
211,0.281376,1.54075
2212,1.71817,0.183339
211,0.243992,1.87383
2212,1.10231,0.583616
211,1.07088,0.317017
2212,0.708476,0.636678
211,0.536355,0.733725
211,0.251011,1.43052
211,2.36454,0.242073
211,0.297551,1.01185
211,1.90707,0.371131
2212,0.846265,0.72172
211,1.11467,0.306262
211,0.285954,1.24081
2212,0.74052,0.333558
2212,1.77081,0.216621
2212,1.19844,0.235538
2212,1.7583,0.503335
2212,3.67407,0.265818
211,0.319677,0.818495
211,0.327306,1.25449
211,0.314946,1.47744
321,1.04784,0.704965
2212,1.42275,0.759927
211,1.3051,0.368786
2212,0.830243,0.138789
211,0.793927,0.518983
2212,1.10292,0.430715
211,1.88312,0.332331
211,0.519417,0.745427
211,1.31792,0.535628
211,0.505837,0.196995
211,0.440681,1.11863
211,0.564126,0.739321
211,1.61807,0.359439
211,0.272221,0.529856
321,1.0428,0.559602
211,0.419013,0.722553
2212,1.45998,0.217786
211,1.80453,0.209348
2212,0.82826,0.271673
211,0.232853,0.500086
211,0.56611,0.927534
211,1.38415,0.337701
211,2.36271,0.241296
211,0.578622,1.37115
211,0.517281,0.595919
2212,2.26337,0.430107
211,1.30831,0.250444
211,0.626078,0.797665
2212,3.65026,0.225966
211,0.851606,0.334164
2212,2.42878,0.400267
211,0.345617,1.64749
2212,1.01549,0.32054
211,1.94629,0.223244
2212,2.17121,0.221151
2212,1.61318,0.18388
211,0.714885,1.19765
211,0.438697,0.610392
2212,2.24338,0.162161
2212,1.47555,0.436834
211,0.66743,0.59851
211,1.5697,0.241672
211,1.75067,0.432085
211,0.749828,0.411935
2212,0.932631,0.374753
211,0.600748,0.533528
2212,1.41787,0.534971
211,0.402533,0.529903
2212,0.819562,0.669881
211,0.787518,0.27818
2212,0.644846,0.591184
211,2.74693,0.239858
2212,1.60479,0.399354
2212,1.2491,0.518063
211,0.807813,0.446173
211,1.8909,0.467886
211,3.12032,0.319503
211,0.536049,0.431686
211,0.768292,0.191055
211,0.31632,1.59895
211,0.252995,0.78659
2212,2.0267,0.321588
2212,1.40993,0.326336
211,1.21126,0.235662
211,0.562295,0.782482
211,0.740063,0.905946
211,0.283513,1.08794
211,0.221408,0.731394
211,0.584726,0.187366
211,2.42634,0.198424
2212,1.38964,0.204399
211,0.515145,1.10908
211,1.393,0.39116
321,1.52285,0.254023
2212,1.17021,0.671324
211,3.12551,0.219428
211,0.763561,0.320528
2212,1.84207,0.225837
2212,2.63539,0.239765
211,1.20592,0.300202
2212,1.36187,0.210633
211,2.38712,0.332048
2212,0.825208,0.778671
211,2.07477,0.304386
211,0.505379,1.0122
2212,0.882124,0.321994
2212,1.5877,0.34364
211,0.375219,1.19065
2212,1.03609,0.192738
321,1.15404,0.181975
2212,1.28923,0.316749
211,2.31006,0.325971
211,0.599527,0.646019
2212,1.15633,0.415046
211,0.247501,1.19042
2212,1.30251,0.579751
211,2.42145,0.148575
2212,1.53857,0.22521
211,0.773938,0.514526
211,1.61944,0.370628
211,0.269017,1.09911
2212,2.79347,0.205465
211,1.20928,0.430029
2212,1.30724,0.224972
211,0.804761,0.641728
321,1.90677,0.275026
2212,1.88952,0.255895
211,3.06813,0.195031
211,0.527657,0.587494
211,0.488289,0.500229
211,0.487373,0.415478
211,2.43626,0.284517
211,0.387579,0.821345
211,0.868849,0.496921
2212,1.54192,0.554909
2212,0.899062,0.553409
211,1.10872,0.202995
2212,1.36584,0.226889
